[header]
width=100
height=100
tilewidth=16
tileheight=16
orientation=orthogonal

[tilesets]
tileset=CursedWoodsSheet.png,16,16,0,0

[layer]
type=Background
data=
72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,67,68,69,70,71,72,73,74,65,66,67,68,69,65,66,
88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,83,84,85,86,87,88,89,90,81,82,83,84,85,81,82,
104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,99,100,101,102,103,104,105,106,97,98,99,100,101,97,98,
120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,115,116,117,118,119,120,121,122,113,114,115,116,117,113,114,
136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,131,132,133,134,135,136,137,138,129,130,131,135,135,129,130,
7,8,8,153,153,153,153,153,153,153,153,153,23,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,8,7,8,7,7,8,7,8,7,8,7,8,7,7,8,7,8,7,8,7,8,7,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,7,7,8,7,8,7,8,7,8,7,8,7,8,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,
23,24,246,10,9,10,9,10,9,10,9,10,33,23,24,23,7,23,7,23,7,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,23,24,23,23,24,23,24,23,24,50,24,23,23,24,7,8,23,24,23,24,23,23,24,23,24,23,24,23,24,23,7,8,24,23,24,23,23,23,24,23,24,23,24,23,24,23,24,23,24,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,
23,246,25,26,25,26,9,10,9,10,25,26,25,33,23,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,153,153,153,153,153,153,153,34,34,34,34,34,34,34,34,34,34,34,34,153,23,24,23,24,23,24,7,8,8,7,8,7,8,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,
19,9,9,10,9,10,25,26,25,26,9,10,9,10,33,153,153,153,153,153,153,153,153,153,153,153,153,153,153,246,25,26,26,25,26,9,9,10,9,10,25,26,25,26,25,26,25,26,25,26,33,23,24,8,8,7,8,7,8,7,8,7,8,8,7,7,8,7,8,24,23,24,23,24,23,24,23,24,23,24,23,24,23,24,50,24,23,24,23,24,23,24,23,24,23,7,8,24,23,24,
19,25,25,26,25,26,9,10,9,10,25,26,25,26,25,26,25,26,25,9,9,9,10,25,26,25,26,9,10,9,10,9,10,9,10,9,25,26,25,26,9,10,9,10,9,10,9,10,9,10,25,33,23,24,24,23,24,23,24,23,50,23,24,24,23,23,24,23,34,34,34,34,34,34,34,34,34,34,34,34,153,153,153,34,34,34,34,34,34,34,34,34,34,34,34,23,7,8,7,8,
